source,target,value
A-mir,P-low,1
A-incr-comp,A-incr-comp,139
A-codegen,A-unicode,1
A-attributes,I-ICE,1
T-libs,WG-infra-rustbuild,1
A-thread-locals,C-bug,6
A-associated-items,E-mentor,4
C-bug,E-mentor,18
A-build,A-rustdoc,8
A-codegen,A-spurious,1
A-codegen,A-frontend,9
A-codegen,T-lang,3
A-lifetimes,B-RFC-approved,1
I-ICE,I-compiletime,1
A-mir,I-slow,7
A-libtest,A-rustdoc,1
A-parser,E-help-wanted,2
A-incr-comp,S-waiting-on-review,1
O-NVPTX,O-NVPTX,8
A-linkage,A-plugin,2
C-bug,O-redox,1
E-mentor,regression-from-stable-to-nightly,1
C-bug,O-windows-gnu,5
A-build,A-grammar,1
A-collections,final-comment-period,4
C-enhancement,C-feature-request,3
A-codegen,I-nominated,21
A-rustdoc,O-freebsd,1
C-bug,WG-compiler-nll,9
O-linux,O-linux,65
I-ICE,I-crash,11
A-frontend,I-compiletime,2
S-waiting-on-author,beta-accepted,7
A-codegen,A-driver,2
A-catch,I-ICE,2
C-bug,regression-from-stable-to-stable,19
A-generators,T-lang,1
A-macros,E-help-wanted,1
A-incr-comp,C-cleanup,15
A-borrow-checker,A-diagnostics,11
A-attributes,I-nominated,4
A-inline-assembly,T-compiler,4
C-bug,E-help-wanted,7
A-rustdoc,P-medium,15
C-enhancement,E-needs-mentor,17
A-allocators,E-hard,3
A-metadata,T-dev-tools,1
A-debuginfo,O-windows-msvc,7
A-associated-items,P-medium,8
A-linkage,A-rustdoc,2
A-parser,C-enhancement,35
I-compiletime,I-slow,21
A-inference,A-specialization,1
T-infra,T-infra,99
B-RFC-approved,B-RFC-approved,252
A-grammar,A-linkage,1
WG-compiler-traits,hacktoberfest,5
A-LLVM,regression-from-stable-to-nightly,4
WG-compiler-middle,hacktoberfest,3
A-macros,C-feature-request,22
C-bug,E-medium,3
P-high,regression-from-stable-to-nightly,71
A-simd,final-comment-period,1
A-attributes,E-needs-mentor,1
A-borrow-checker,C-bug,38
I-compiletime,regression-from-stable-to-stable,5
A-LLVM,O-wasm,1
B-RFC-approved,I-needs-decision,1
P-high,T-libs,16
O-guix,WG-infra-rustbuild,1
O-windows,T-compiler,7
I-crash,P-low,5
T-dev-tools-rustdoc,relnotes,1
A-lint,C-tracking-issue,3
B-unstable,P-low,2
A-visibility,A-visibility,20
B-RFC-approved,T-doc,3
A-macros,I-needs-decision,1
B-unstable,T-libs,248
A-closures,I-ICE,35
A-allocators,I-crash,1
A-metadata,A-traits,2
A-debuginfo,A-frontend,2
A-plugin,A-rustbuild,1
A-slice-patterns,C-bug,2
A-build,O-windows,24
A-rustbuild,T-core,1
T-dev-tools,WG-infra-rustbuild,1
E-needs-mentor,WG-compiler-errors,17
A-attributes,C-tracking-issue,2
C-enhancement,I-nominated,18
T-compiler,T-lang,68
A-diagnostics,regression-from-stable-to-beta,5
A-LLVM,I-unsound,5
O-freebsd,regression-from-stable-to-nightly,1
T-dev-tools,WG-docs-rustdoc,1
A-frontend,A-frontend,425
A-ffi,I-nominated,3
A-closures,C-bug,13
A-unicode,T-lang,1
E-hard,regression-from-stable-to-stable,2
E-mentor,I-compilemem,1
I-slow,T-infra,1
A-rls,C-bug,1
A-LLVM,A-mir,3
A-frontend,E-needstest,2
A-build,A-codegen,3
A-macros,I-compiletime,1
A-traits,rust-2-breakage-wishlist,1
I-slow,O-android,1
T-core,T-core,18
E-mentor,T-compiler,93
A-associated-items,C-enhancement,2
E-easy,T-doc,30
O-asmjs,T-cargo,1
A-runtime,E-hard,32
final-comment-period,regression-from-stable-to-beta,1
A-resolve,A-resolve,239
A-frontend,I-ICE,17
E-hard,O-linux,2
A-associated-items,C-bug,26
T-libs,T-libs,1290
A-LLVM,I-crash,24
A-diagnostics,A-testsuite,1
A-collections,P-low,1
A-borrow-checker,E-mentor,7
A-macros,A-rustdoc,4
P-low,T-cargo,2
A-diagnostics,A-specialization,1
A-allocators,I-needs-decision,1
A-codegen,T-infra,1
A-linkage,T-dev-tools,2
A-build,O-android,6
E-mentor,I-slow,4
A-LLVM,A-cross,1
E-mentor,hacktoberfest,28
E-hard,T-lang,5
S-waiting-on-bors,T-lang,3
E-easy,E-help-wanted,41
A-attributes,E-easy,18
O-musl,O-musl,3
A-frontend,E-hard,9
T-compiler,hacktoberfest,23
A-closures,T-compiler,10
B-unstable,final-comment-period,189
I-unsound,O-macos,1
A-typesystem,I-needs-decision,7
A-concurrency,metabug,1
A-diagnostics,A-lint,37
S-waiting-on-crater,T-compiler,2
A-diagnostics,rust-2-breakage-wishlist,1
A-driver,I-slow,1
A-lifetimes,A-lint,2
A-rustbuild,T-doc,3
A-parser,hacktoberfest,1
A-debuginfo,A-incr-comp,3
C-cleanup,T-infra,2
A-debuginfo,T-dev-tools,4
A-debuginfo,A-unicode,1
A-mir,I-needs-decision,4
A-rustdoc,S-waiting-on-review,1
C-bug,O-windows,31
E-needs-mentor,WG-compiler-middle,4
A-diagnostics,C-enhancement,451
E-hard,I-compiletime,2
T-compiler,T-core,1
E-mentor,I-nominated,6
I-ICE,T-dev-tools,3
E-easy,I-unsound,2
I-ICE,O-x86,1
A-linkage,T-cargo,3
A-inference,T-lang,2
E-needstest,regression-from-stable-to-stable,1
C-enhancement,P-low,75
E-easy,O-MIPS,1
O-linux,O-x86,2
A-sanitizers,A-sanitizers,7
C-bug,P-medium,80
A-traits,C-future-compatibility,1
A-pretty,P-medium,1
E-needstest,beta-accepted,1
A-testsuite,E-easy,65
A-rustdoc,I-nominated,6
A-driver,C-enhancement,14
A-libtest,C-feature-accepted,2
A-attributes,A-linkage,4
A-syntaxext,C-enhancement,37
E-medium,regression-from-stable-to-stable,1
T-lang,beta-accepted,3
A-LLVM,O-linux,2
A-resolve,C-cleanup,15
A-associated-items,I-needs-decision,1
A-LLVM,A-LLVM,326
A-stability,T-dev-tools,2
A-runtime,O-android,7
A-build,P-medium,22
O-ARM,O-windows,1
A-codegen,E-needstest,16
A-inline-assembly,C-bug,28
C-enhancement,T-doc,87
O-ios,O-netbsd,1
A-incr-comp,E-needstest,1
A-runtime,A-typesystem,8
A-incr-comp,O-windows-msvc,1
S-waiting-on-author,T-doc,10
A-codegen,C-cleanup,38
A-const-fn,C-enhancement,7
A-borrow-checker,A-closures,3
I-nominated,T-libs,83
A-linkage,C-feature-request,7
A-const-fn,P-low,1
A-debuginfo,final-comment-period,1
rust-2-breakage-wishlist,rust-2-breakage-wishlist,13
T-dev-tools-rustdoc,WG-docs-rustdoc,1
C-tracking-issue,WG-docs-rustdoc,1
A-frontend,A-runtime,3
A-ffi,A-runtime,2
E-easy,O-windows-msvc,1
A-typesystem,E-medium,1
O-windows,O-windows,373
A-associated-items,regression-from-stable-to-beta,1
A-LLVM,regression-from-stable-to-beta,3
A-inference,A-inference,59
O-macos,regression-from-stable-to-beta,1
A-build,S-waiting-on-bors,1
A-destructors,I-ICE,8
E-easy,O-macos,3
A-impl-trait,C-enhancement,3
I-ICE,O-macos,1
I-unsound,P-high,12
A-rustbuild,I-nominated,1
I-ICE,regression-from-stable-to-nightly,53
A-syntaxext,C-tracking-issue,1
B-RFC-implemented,T-libs,8
I-crash,T-compiler,37
A-debuginfo,C-bug,51
O-ARM,P-low,1
A-rustdoc,A-rustdoc,876
A-codegen,T-compiler,47
A-macros,C-bug,43
A-incr-comp,T-compiler,61
A-build,A-pretty,2
A-linkage,C-cleanup,10
O-linux,T-core,1
A-associated-items,A-rustdoc,4
E-hard,T-compiler,14
A-rustbuild,E-help-wanted,5
A-rustbuild,regression-from-stable-to-beta,1
A-diagnostics,I-crash,2
A-LLVM,I-slow,56
A-rustbuild,O-linux,1
A-associated-items,E-needs-mentor,1
A-build,A-spurious,1
A-typesystem,metabug,5
A-allocators,A-allocators,33
A-const-fn,C-future-compatibility,1
B-unstable,E-needstest,1
I-needs-decision,relnotes,2
C-tracking-issue,E-hard,1
A-plugin,C-cleanup,2
A-associated-items,I-compiletime,3
A-concurrency,A-incr-comp,1
