first_label,second_label,sim
A-impl-trait,A-typesystem,0.0017452006980802793
A-rustbuild,WG-infra-rustbuild,0.2560386473429952
E-medium,P-low,0.004878048780487805
A-associated-items,E-easy,0.0015731515469323545
A-attributes,A-concurrency,0.01092896174863388
E-needstest,I-nominated,0.001893939393939394
A-build,I-compiletime,0.005865102639296188
A-linkage,E-needstest,0.0024330900243309003
A-debuginfo,A-spurious,0.0028328611898017
A-hir,I-slow,0.001838235294117647
A-build,O-macos,0.023474178403755867
A-syntaxext,I-nominated,0.0036363636363636364
A-codegen,O-windows,0.008955223880597015
A-pretty,E-hard,0.007142857142857143
C-cleanup,E-mentor,0.016574585635359115
A-const-fn,T-doc,0.002890173410404624
A-runtime,relnotes,0.0010449320794148381
A-diagnostics,E-needs-mentor,0.012709030100334449
C-cleanup,T-dev-tools,0.004906771344455349
O-NVPTX,metabug,0.012048192771084338
A-LLVM,A-linkage,0.018211920529801324
A-rls,T-dev-tools,0.002824858757062147
A-typesystem,T-libs,0.0004152823920265781
B-RFC-implemented,I-needs-decision,0.006369426751592357
A-runtime,metabug,0.010771992818671455
A-traits,C-feature-request,0.005753739930955121
A-destructors,T-libs,0.0007358351729212656
A-resolve,I-compiletime,0.0026246719160104987
A-codegen,I-slow,0.10744580584354382
A-diagnostics,I-crash,0.0010476689366160294
C-bug,I-needs-decision,0.026074700493305146
A-attributes,A-codegen,0.002793296089385475
A-parser,I-needs-decision,0.00909090909090909
A-specialization,S-waiting-on-review,0.002070393374741201
E-needstest,I-crash,0.012658227848101266
A-collections,C-enhancement,0.007218212104386452
A-rustbuild,I-nominated,0.0013717421124828531
A-debuginfo,I-nominated,0.0012121212121212121
A-parser,I-crash,0.004784688995215311
C-cleanup,O-android,0.0013568521031207597
A-linkage,P-medium,0.0097442143727162
A-impl-trait,A-traits,0.005154639175257732
A-attributes,A-plugin,0.00980392156862745
A-concurrency,I-nominated,0.001584786053882726
A-linkage,C-enhancement,0.01951951951951952
A-traits,regression-from-stable-to-beta,0.0016129032258064516
A-typesystem,E-help-wanted,0.0016090104585679806
C-bug,I-nominated,0.014246575342465753
O-windows-msvc,T-dev-tools,0.005
B-RFC-approved,T-cargo,0.011363636363636364
A-plugin,P-low,0.0024813895781637717
A-pretty,metabug,0.00558659217877095
A-lifetimes,P-low,0.01790633608815427
C-enhancement,regression-from-stable-to-beta,0.000999000999000999
A-borrow-checker,C-enhancement,0.008269018743109152
E-mentor,T-lang,0.023835319609967497
C-tracking-issue,WG-compiler-incr,0.0028089887640449437
A-diagnostics,WG-compiler-errors,0.028282828282828285
A-grammar,C-tracking-issue,0.006172839506172839
C-feature-request,T-lang,0.05252317198764161
A-debuginfo,A-security,0.003134796238244514
A-driver,O-linux,0.008264462809917356
O-freebsd,T-compiler,0.0012594458438287153
A-ffi,P-medium,0.008319467554076539
O-windows,regression-from-stable-to-stable,0.004273504273504274
A-simd,C-tracking-issue,0.00847457627118644
P-medium,T-doc,0.08914728682170543
A-lint,P-high,0.004484304932735426
A-attributes,E-hard,0.003937007874015748
A-parser,C-enhancement,0.01826722338204593
A-codegen,O-asmjs,0.0015037593984962407
B-unstable,P-low,0.0026666666666666666
A-associated-items,P-high,0.0021321961620469083
A-lint,C-future-compatibility,0.0048543689320388345
A-LLVM,I-compiletime,0.033112582781456956
A-linkage,I-ICE,0.005161895823557016
A-grammar,A-typesystem,0.01120896717373899
E-hard,metabug,0.020080321285140562
A-rustdoc,E-needstest,0.002849002849002849
C-cleanup,T-compiler,0.022282855843565257
A-rustbuild,E-hard,0.0026109660574412533
B-RFC-approved,I-needs-decision,0.002631578947368421
A-runtime,E-easy,0.04727793696275072
P-high,T-compiler,0.10757211538461539
A-traits,rust-2-breakage-wishlist,0.0026595744680851063
A-typesystem,C-cleanup,0.021070615034168565
A-diagnostics,A-lint,0.019956850053937433
T-compiler,hacktoberfest,0.01390644753476612
A-destructors,C-cleanup,0.0013458950201884253
A-LLVM,A-testsuite,0.006024096385542169
A-LLVM,A-diagnostics,0.0011061946902654867
A-build,E-mentor,0.002053388090349076
I-unsound,T-lang,0.02626970227670753
E-hard,I-unsound,0.012048192771084338
A-diagnostics,E-mentor,0.09412435824301198
A-syntaxext,E-needstest,0.006002400960384154
A-traits,B-RFC-implemented,0.005115089514066497
A-ffi,A-testsuite,0.0024449877750611247
A-traits,B-unstable,0.005449591280653951
O-windows,T-lang,0.0011312217194570137
A-build,A-cross,0.0017921146953405018
C-tracking-issue,final-comment-period,0.04044117647058824
A-concurrency,A-lifetimes,0.004282655246252677
A-codegen,O-wasm,0.0029895366218236174
A-mir,P-high,0.03430079155672823
A-driver,A-parser,0.007722007722007722
A-diagnostics,O-macos,0.0012547051442910915
T-compiler,WG-infra-rustbuild,0.002458512599877074
I-needs-decision,regression-from-stable-to-nightly,0.008426966292134831
A-grammar,C-enhancement,0.006396588486140725
O-windows,P-low,0.020380434782608696
A-lint,O-windows,0.0012853470437017994
A-allocators,I-unsound,0.01904761904761905
A-macros,E-mentor,0.004213483146067416
A-syntaxext,C-bug,0.004929143561306223
A-runtime,O-macos,0.006734006734006734
A-plugin,C-tracking-issue,0.002680965147453083
E-mentor,I-unsound,0.005952380952380952
A-incr-comp,P-high,0.004962779156327543
E-easy,I-slow,0.015412511332728921
I-ICE,P-medium,0.007160909856781803
A-collections,final-comment-period,0.014234875444839857
A-codegen,E-mentor,0.0028011204481792717
A-inference,T-doc,0.0027624309392265192
A-typesystem,metabug,0.004191114836546521
A-build,O-windows,0.026905829596412557
C-tracking-issue,regression-from-stable-to-stable,0.0022522522522522522
A-associated-items,A-destructors,0.0036231884057971015
E-medium,I-needs-decision,0.006172839506172839
A-runtime,E-mentor,0.001088139281828074
A-concurrency,E-mentor,0.001851851851851852
A-build,T-doc,0.0035545023696682463
A-testsuite,P-medium,0.004555808656036446
O-NVPTX,T-compiler,0.0006313131313131314
A-macros,regression-from-stable-to-beta,0.01125703564727955
A-metadata,regression-from-stable-to-nightly,0.0036900369003690036
C-tracking-issue,O-wasm,0.013404825737265416
P-medium,WG-infra-rustbuild,0.00338409475465313
A-associated-items,A-rustdoc,0.0037243947858473
C-tracking-issue,WG-compiler-nll,0.0027100271002710027
I-compiletime,P-high,0.017412935323383085
A-borrow-checker,I-needs-decision,0.014423076923076924
A-mir,T-compiler,0.03400121432908318
I-nominated,hacktoberfest,0.0018181818181818182
A-driver,E-mentor,0.004098360655737705
A-security,metabug,0.010752688172043012
C-cleanup,WG-compiler-incr,0.007407407407407408
E-medium,regression-from-stable-to-stable,0.007692307692307693
