label,triage
A-LLVM,A
A-NLL,A
A-allocators,A
A-associated-items,A
A-attributes,A
A-borrow-checker,A
A-build,A
A-catch,A
A-closures,A
A-codegen,A
A-collections,A
A-concurrency,A
A-const-fn,A
A-cross,A
A-debuginfo,A
A-destructors,A
A-diagnostics,A
A-driver,A
A-dst,A
A-ffi,A
A-frontend,A
A-generators,A
A-grammar,A
A-hir,A
A-impl-trait,A
A-incr-comp,A
A-inference,A
A-inline-assembly,A
A-libtest,A
A-lifetimes,A
A-linkage,A
A-lint,A
A-macros,A
A-macros-2.0,A
A-metadata,A
A-mir,A
A-naked,A
A-parser,A
A-plugin,A
A-pretty,A
A-resolve,A
A-rls,A
A-runtime,A
A-rustbuild,A
A-rustdoc,A
A-sanitizers,A
A-save-analysis,A
A-security,A
A-simd,A
A-slice-patterns,A
A-specialization,A
A-spurious,A
A-stability,A
A-syntaxext,A
A-target-specs,A
A-testsuite,A
A-thread-locals,A
A-traits,A
A-typesystem,A
A-unicode,A
A-visibility,A
B-RFC-approved,B
B-RFC-implemented,B
B-unstable,B
C-bug,C
C-cleanup,C
C-enhancement,C
C-feature-accepted,C
C-feature-request,C
C-future-compatibility,C
C-tracking-issue,C
E-easy,E
E-hard,E
E-help-wanted,E
E-medium,E
E-mentor,E
E-needs-mentor,E
E-needstest,E
I-ICE,I
I-compilemem,I
I-compiletime,I
I-crash,I
I-needs-decision,I
I-nominated,I
I-slow,I
I-unsound,I
O-ARM,O
O-MIPS,O
O-NVPTX,O
O-PowerPC,O
O-SPARC,O
O-android,O
O-asmjs,O
O-freebsd,O
O-guix,O
O-ios,O
O-linux,O
O-macos,O
O-musl,O
O-netbsd,O
O-openbsd,O
O-redox,O
O-solaris,O
O-wasm,O
O-windows,O
O-windows-gnu,O
O-windows-msvc,O
O-x86,O
O-x86_64,O
P-high,P
P-low,P
P-medium,P
S-inactive-closed,S
S-waiting-on-author,S
S-waiting-on-bors,S
S-waiting-on-crater,S
S-waiting-on-review,S
S-waiting-on-team,S
T-cargo,T
T-compiler,T
T-core,T
T-dev-tools,T
T-dev-tools-rustdoc,T
T-doc,T
T-infra,T
T-lang,T
T-libs,T
WG-compiler-const,WG
WG-compiler-errors,WG
WG-compiler-front,WG
WG-compiler-incr,WG
WG-compiler-middle,WG
WG-compiler-nll,WG
WG-compiler-traits,WG
WG-docs-rustdoc,WG
WG-infra-rustbuild,WG
beta-accepted,
beta-nominated,
final-comment-period,
hacktoberfest,
metabug,
proposed-final-comment-period,
regression-from-stable-to-beta,
regression-from-stable-to-nightly,
regression-from-stable-to-stable,
relnotes,
rust-2-breakage-wishlist,
