date,author_0,author_1,author_2,other,author_3,author_4
2007-01-01,0.0,1.0,0.0,1529.0,12.0,0.0
2007-02-01,1.0,0.0,0.0,3001.0,25.0,0.0
2007-03-01,0.0,7.0,0.0,2316.0,19.0,0.0
2007-04-01,1.0,1.0,0.0,1632.0,20.0,0.0
2007-05-01,0.0,3.0,0.0,3898.0,21.0,0.0
2007-06-01,7.0,6.0,0.0,1768.0,9.0,1.0
2007-07-01,10.0,5.0,0.0,4219.0,29.0,0.0
2007-08-01,3.0,2.0,0.0,2362.0,52.0,0.0
2007-09-01,3.0,1.0,0.0,1894.0,23.0,6.0
2007-10-01,7.0,12.0,0.0,5367.0,32.0,1.0
2007-11-01,0.0,1.0,0.0,2825.0,29.0,0.0
2007-12-01,0.0,4.0,0.0,2580.0,13.0,0.0
2008-01-01,0.0,31.0,0.0,4154.0,38.0,50.0
2008-02-01,3.0,80.0,0.0,4434.0,56.0,26.0
2008-03-01,0.0,58.0,0.0,3002.0,17.0,75.0
2008-04-01,0.0,56.0,0.0,5113.0,16.0,196.0
2008-05-01,69.0,55.0,0.0,3274.0,23.0,166.0
2008-06-01,4.0,49.0,0.0,2841.0,30.0,113.0
2008-07-01,3.0,129.0,0.0,5260.0,33.0,228.0
2008-08-01,1.0,172.0,0.0,2940.0,31.0,179.0
2008-09-01,0.0,134.0,0.0,2858.0,17.0,120.0
2008-10-01,0.0,42.0,0.0,4565.0,52.0,250.0
2008-11-01,3.0,59.0,0.0,3562.0,98.0,122.0
2008-12-01,2.0,49.0,0.0,3690.0,84.0,135.0
2009-01-01,0.0,42.0,0.0,4934.0,87.0,196.0
2009-02-01,10.0,50.0,0.0,3688.0,124.0,131.0
2009-03-01,1.0,57.0,1.0,5070.0,108.0,153.0
2009-04-01,2.0,40.0,0.0,4489.0,63.0,217.0
2009-05-01,25.0,46.0,2.0,3231.0,67.0,136.0
2009-06-01,35.0,46.0,0.0,4478.0,133.0,252.0
2009-07-01,1.0,19.0,0.0,3344.0,100.0,145.0
2009-08-01,3.0,29.0,0.0,3753.0,51.0,139.0
2009-09-01,3.0,49.0,1.0,4004.0,56.0,234.0
2009-10-01,3.0,22.0,0.0,3531.0,31.0,143.0
2009-11-01,27.0,42.0,3.0,3910.0,55.0,123.0
2009-12-01,8.0,41.0,15.0,4456.0,65.0,252.0
2010-01-01,3.0,29.0,7.0,3541.0,39.0,120.0
2010-02-01,15.0,40.0,0.0,3725.0,20.0,160.0
2010-03-01,6.0,40.0,3.0,4149.0,44.0,177.0
2010-04-01,13.0,67.0,0.0,3223.0,45.0,133.0
2010-05-01,2.0,54.0,3.0,4798.0,26.0,230.0
2010-06-01,22.0,21.0,0.0,3207.0,20.0,97.0
2010-07-01,41.0,31.0,0.0,3605.0,29.0,95.0
2010-08-01,9.0,41.0,0.0,4172.0,43.0,255.0
2010-09-01,36.0,37.0,0.0,3963.0,60.0,122.0
2010-10-01,12.0,32.0,0.0,4974.0,24.0,262.0
2010-11-01,3.0,41.0,0.0,3838.0,15.0,118.0
2010-12-01,0.0,45.0,0.0,3687.0,33.0,117.0
2011-01-01,16.0,72.0,0.0,4680.0,38.0,247.0
2011-02-01,0.0,127.0,0.0,4292.0,11.0,112.0
2011-03-01,4.0,117.0,0.0,5066.0,30.0,276.0
2011-04-01,0.0,94.0,0.0,3685.0,39.0,134.0
2011-05-01,1.0,120.0,0.0,5243.0,78.0,268.0
2011-06-01,6.0,24.0,2.0,4400.0,91.0,153.0
2011-07-01,21.0,74.0,0.0,5014.0,68.0,229.0
2011-08-01,9.0,40.0,1.0,4161.0,65.0,152.0
2011-09-01,21.0,20.0,1.0,3401.0,22.0,81.0
2011-10-01,76.0,16.0,0.0,3842.0,29.0,125.0
2011-11-01,18.0,25.0,0.0,4740.0,79.0,184.0
2011-12-01,45.0,61.0,0.0,4219.0,19.0,119.0
2012-01-01,18.0,31.0,1.0,4139.0,30.0,235.0
2012-02-01,40.0,38.0,0.0,4215.0,69.0,120.0
2012-03-01,74.0,48.0,1.0,5119.0,35.0,267.0
2012-04-01,56.0,85.0,0.0,5001.0,32.0,166.0
2012-05-01,72.0,89.0,0.0,6065.0,46.0,252.0
2012-06-01,2.0,84.0,0.0,4933.0,37.0,152.0
2012-07-01,101.0,130.0,0.0,5234.0,33.0,224.0
2012-08-01,71.0,55.0,0.0,4570.0,55.0,132.0
2012-09-01,44.0,44.0,0.0,5749.0,31.0,116.0
2012-10-01,28.0,50.0,0.0,5905.0,31.0,282.0
2012-11-01,58.0,32.0,0.0,5935.0,54.0,113.0
2012-12-01,9.0,22.0,28.0,4383.0,106.0,212.0
2013-01-01,24.0,34.0,131.0,5406.0,157.0,120.0
2013-02-01,43.0,50.0,58.0,4880.0,31.0,175.0
2013-03-01,105.0,50.0,156.0,6094.0,31.0,159.0
2013-04-01,149.0,57.0,239.0,5968.0,17.0,168.0
2013-05-01,21.0,26.0,171.0,5210.0,23.0,228.0
2013-06-01,93.0,26.0,149.0,5323.0,29.0,131.0
2013-07-01,7.0,22.0,143.0,5143.0,42.0,232.0
2013-08-01,0.0,46.0,49.0,5927.0,15.0,113.0
2013-09-01,0.0,42.0,64.0,5384.0,13.0,254.0
2013-10-01,0.0,70.0,41.0,6159.0,54.0,125.0
2013-11-01,0.0,38.0,101.0,5167.0,88.0,210.0
2013-12-01,0.0,71.0,177.0,5307.0,36.0,129.0
2014-01-01,20.0,86.0,0.0,5355.0,69.0,206.0
2014-02-01,41.0,46.0,148.0,5844.0,188.0,134.0
2014-03-01,109.0,89.0,146.0,5964.0,18.0,119.0
2014-04-01,49.0,51.0,103.0,5925.0,9.0,224.0
2014-05-01,58.0,96.0,141.0,6378.0,24.0,122.0
2014-06-01,50.0,61.0,68.0,5618.0,25.0,233.0
2014-07-01,47.0,94.0,268.0,6705.0,19.0,134.0
2014-08-01,1.0,78.0,117.0,5210.0,20.0,209.0
2014-09-01,76.0,104.0,178.0,6291.0,25.0,132.0
2014-10-01,10.0,81.0,163.0,6056.0,101.0,221.0
2014-11-01,108.0,82.0,242.0,5995.0,41.0,125.0
2014-12-01,22.0,55.0,11.0,4552.0,26.0,226.0
2015-01-01,73.0,92.0,137.0,5784.0,147.0,128.0
2015-02-01,39.0,63.0,48.0,5056.0,84.0,212.0
2015-03-01,37.0,129.0,19.0,6787.0,61.0,140.0
2015-04-01,20.0,76.0,3.0,5512.0,64.0,236.0
2015-05-01,121.0,100.0,108.0,6065.0,43.0,128.0
2015-06-01,27.0,67.0,26.0,6072.0,26.0,168.0
2015-07-01,0.0,73.0,1.0,6028.0,9.0,182.0
2015-08-01,0.0,101.0,129.0,5382.0,26.0,121.0
2015-09-01,62.0,56.0,14.0,6063.0,16.0,216.0
2015-10-01,98.0,106.0,227.0,6886.0,24.0,124.0
2015-11-01,140.0,45.0,57.0,5514.0,23.0,242.0
2015-12-01,120.0,92.0,0.0,5542.0,30.0,112.0
2016-01-01,120.0,62.0,0.0,5507.0,34.0,221.0
2016-02-01,130.0,103.0,0.0,7240.0,70.0,133.0
2016-03-01,103.0,87.0,100.0,5833.0,34.0,243.0
2016-04-01,95.0,130.0,90.0,6104.0,21.0,142.0
2016-05-01,127.0,83.0,64.0,5449.0,16.0,266.0
2016-06-01,106.0,111.0,17.0,6500.0,4.0,130.0
2016-07-01,86.0,84.0,0.0,5678.0,8.0,185.0
2016-08-01,35.0,95.0,0.0,6271.0,5.0,184.0
2016-09-01,171.0,122.0,0.0,6517.0,8.0,124.0
2016-10-01,61.0,86.0,0.0,5558.0,5.0,274.0
2016-11-01,130.0,111.0,0.0,6413.0,66.0,132.0
2016-12-01,21.0,77.0,0.0,4531.0,6.0,236.0
2017-01-01,79.0,124.0,2.0,6239.0,57.0,145.0
2017-02-01,114.0,96.0,10.0,5878.0,63.0,215.0
2017-03-01,100.0,116.0,0.0,6884.0,11.0,171.0
2017-04-01,52.0,126.0,0.0,5810.0,16.0,125.0
2017-05-01,69.0,113.0,0.0,5909.0,69.0,243.0
2017-06-01,63.0,145.0,0.0,6566.0,77.0,153.0
2017-07-01,93.0,94.0,0.0,5580.0,4.0,290.0
2017-08-01,144.0,157.0,7.0,6562.0,33.0,140.0
2017-09-01,32.0,46.0,0.0,1679.0,10.0,263.0
2017-10-01,2.0,3.0,0.0,119.0,1.0,46.0
